"genus_species","population_id","lifespan_days","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","latitude","longitude","realm_general2","maximum_body_size_svl_hbl_cm"
"Notropis stramineus","Notropis stramineus_39.076718_NA","1095","","","none","none",39.076718,-92.410055,"Freshwater","8.2"
"Oncorhynchus kisutch","Oncorhynchus kisutch_47.37_NA","1825","0.708","0.958","none","none",47.37,-120.26,"Freshwater","108"
"Oncorhynchus kisutch","Oncorhynchus kisutch_47.227642_NA","1825","0.708","0.958","none","none",47.227642,-123.380616,"Freshwater","108"
"Oncorhynchus kisutch","Oncorhynchus kisutch_47.936263_NA","1825","0.708","0.958","none","none",47.936263,-122.944682,"Freshwater","108"
"Oncorhynchus kisutch","Oncorhynchus kisutch_48.037584_NA","1825","0.708","0.958","none","none",48.037584,-124.274831,"Freshwater","108"
"Osmerus mordax","Osmerus mordax_42.08_NA","2555","0.292","0.458","none","none",42.08,-81.34,"Freshwater","35.6"
"Perca flavescens","Perca flavescens_41.65_NA","4015","","","none","none",41.65,-82.83,"Freshwater","50"
"Perca flavescens","Perca flavescens_43.64_NA","4015","","","none","none",43.64,-79.49,"Freshwater","50"
"Perca flavescens","Perca flavescens_45.73_NA","4015","","","none","none",45.73,-78.4,"Freshwater","50"
"Pimephales notatus","Pimephales notatus_35.66_NA","2920","","","none","none",35.66,-97.47,"Freshwater","11"
"Pimephales notatus","Pimephales notatus_39.97_NA","2920","","","none","none",39.97,-82.81,"Freshwater","11"
"Pimephales notatus","Pimephales notatus_41.65_NA","2920","","","none","none",41.65,-82.83,"Freshwater","11"
"Pimephales notatus","Pimephales notatus_42.6_NA","2920","","","none","none",42.6,-78.47,"Freshwater","11"
"Pimephales notatus","Pimephales notatus_43.64_NA","2920","","","none","none",43.64,-79.49,"Freshwater","11"
"Pimephales notatus","Pimephales notatus_38.524_NA","2920","","","none","none",38.524,-92.472,"Freshwater","11"
"Eurycea longicauda","Eurycea longicauda_36.1_NA","3650","","","","",36.1,-94.33,"Terrestrial","20"
"Eurycea lucifuga","Eurycea lucifuga_35.93_NA","3321.5","","","none","none",35.93,-94.15,"Terrestrial","20"
"Pomoxis nigromaculatus","Pomoxis nigromaculatus_46.78_NA","5475","","","none","none",46.78,-94.7,"Freshwater","49"
"Rhinichthys atratulus","Rhinichthys atratulus_35.96_NA","1460","","","none","none",35.96,-83.92,"Freshwater","12.4"
