"genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_distance2_category","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km...migratory.only.","season_when_away_100km...migratory.only.","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference"
"Hypomesus","transpacificus","365","Swanson et al., 2000","365","Swanson et al., 2000","Y","10-100","Moyle et al., 1991;Sommer et al., 2011",NA,NA,"12","Froese & Pauly, 2000","6.3","Froese & Pauly, 2000","6.3","Froese & Pauly, 2000","Y","none","Swee J. Teh, 2007","migratory","Sommer et al., 2011","winter",NA,"Sommer et al., 2011","unk","","Nikki","730","Froese & Pauly, 2000;NatureServe, 2020"
"Osmerus","mordax","365","Murawski & Cole, 1978","365","Murawski & Cole, 1978","","100+","Bradbury et al., 2008;Enterline, 2013;Froese & Pauly, 2000",NA,NA,"35.6","Froese & Pauly, 2000","","","","","","","","migratory","IUCN, 2020","3 months around April/May","3 months around April/May","Froese & Pauly, 2000;IUCN, 2020;Jilek et al., 1979","unk","","Nikki","2555","Froese & Pauly, 2000"
"Etheostoma","caeruleum","365","Marjan et al., 2017","365","Marjan et al., 2017","Y","0-1","Hicks & Servos, 2017;Sommer et al., 2011",NA,NA,"7.7","Froese & Pauly, 2000","5.3","Froese & Pauly, 2000","5.3","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.00196-0.00785","Hicks & Servos, 2017","Nikki","1095","Froese & Pauly, 2000"
"Etheostoma","flabellare","365","NatureServe, 2020","365","NatureServe, 2020","Y","0-1","Klein, 2001;Lngersoll et al., 1984;IUCN, 2020",NA,NA,"8.4","Froese & Pauly, 2000","5.2","Froese & Pauly, 2000","5.2","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.0000283","Lngersoll et al., 1984","Nikki","1580","Froese & Pauly, 2000"
"Etheostoma","nigrum","365","NatureServe, 2020","365","NatureServe, 2020","Y","0-1","Lngersoll et al., 1984;Klein, 2001;IUCN, 2020",NA,NA,"7.2","Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.0000283","Lngersoll et al., 1984","Nikki","1580","Froese & Pauly, 2000"
"Etheostoma","spectabile","365","NatureServe, 2020","365","NatureServe, 2020","Y","0-1","Lngersoll et al., 1984;IUCN, 2020",NA,NA,"7.2","Froese & Pauly, 2000","4.7","Froese & Pauly, 2000","4.7","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.0000283","Lngersoll et al., 1984","Nikki","730","R. J. Edwards, 1977"
"Gymnocephalus","cernua","365","IUCN, 2020","365","IUCN, 2020","Y","1-10","Gutsch & Hoffman, 2016",NA,NA,"25","Froese & Pauly, 2000","12","Froese & Pauly, 2000","12","Froese & Pauly, 2000","Y","","","migratory","Gutsch & Hoffman, 2016","August/September/October/November/December/January/February/March/April",NA,"Gutsch & Hoffman, 2016;Popova et al., 1998","unk","","Nikki","4015","NatureServe, 2020"
"Perca","flavescens","1095","NatureServe, 2020","730","NatureServe, 2020","","10-100","Glover et al., 2008;Brodnik et al., 2015",NA,NA,"50","Froese & Pauly, 2000","19.1","Froese & Pauly, 2000","19.1","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","2587.7-10861.87","Glover et al., 2008","Nikki","4015","Froese & Pauly, 2000"
"Sander","vitreus","1095","NatureServe, 2020","730","NatureServe, 2020","","100+","Hayden et al., 2018;Kirby et al., 2017;Backhouse-James & Docker, 2012; NatureServe, 2020",NA,NA,"107","Froese & Pauly, 2000","54","Froese & Pauly, 2000","54","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","spring","spring","NatureServe, 2020","0.679-3","Kirby et al., 2017","Nikki","10585","Froese & Pauly, 2000"
"Heterandria","formosa","44","Ala-Honkola et al., 2011","95","Ala-Honkola et al., 2011","","100+","Baer, 1998;Leips et al., 2013",NA,NA,"3.6","Froese & Pauly, 2000","2.1","Froese & Pauly, 2000","2.1","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","120","Soucy & Travis, 2003"
