"genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_distance2_category","logic_source_for_dispersal_distance2","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km...migratory.only.","season_when_away_100km...migratory.only.","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference"
"Canthon","humectus","unk","","unk","","","100+","Verdú & Lobo, 2008",NA,NA,"1.7","Dunlap et al., 2015","","","","","","kunk","Ortega-Martínez et al., 2014","non-migratory","IUCN, 2020",NA,NA,"","unk","","Wilco+Piero","730","Verdú, 2011"
"Anguilla","australis","6570","Gomon & Bray, 2018","5110","Gomon & Bray, 2018","","100+","IUCN, 2020;Beumer, 1979",NA,NA,"130","Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.5","Beumer, 1979","Sarah/Nikki","11680","De Magalhães & Costa, 2009"
"Anguilla","dieffenbachii","11315","Doole, 2005","4380","Doole, 2005","","100+","R. M. McDowall, 2010",NA,NA,"182","Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.062","Chisnall & Kalish, 1993","Sarah/Nikki","18980","McEwan & Joy, 2016"
"Apogon","pacificus","unk","","unk","","","0-1","IUCN, 2020",NA,NA,"10","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","unk","",NA,NA,"","unk","","Nikki","unk",""
"Chaenocephalus","aceratus","3650","M. La Mesa et al., 2004","3650","M. La Mesa et al., 2004","","100+","Damerau et al., 2014",NA,NA,"72","Froese & Pauly, 2000","","","","","","","","migratory","Reid et al., 2007","autumn","autumn","Papetti et al., 2012;Detrich et al., 2005","unk","","Nikki","7300","Saveliev et al., 2006"
"Chionodraco","rastrospinosus","1460","M. La Mesa & Ashford, 2008","1460","M. La Mesa & Ashford, 2008","","100+","Papetti et al., 2012",NA,NA,"52","Froese & Pauly, 2000;M. La Mesa & Ashford, 2008","47.9","M. La Mesa & Ashford, 2008","42.9","M. La Mesa & Ashford, 2008","","","","non-migratory","Papetti et al., 2012",NA,NA,"","unk","","Nikki","3650","Saveliev et al., 2006"
"Cirrhitichthys","oxycephalus","unk","","unk","","","100+","https://media.nature.com/original/nature-assets/ncomms/2014/141121/ncomms6575/extref/ncomms6575-s2.docx",NA,NA,"10","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","non-migratory","Mora & Ospína, 2001;Grove & Lavenberg, 1997",NA,NA,"","unk","","Nikki","2920","Pixie Hawkfish (Cirrhitichthys oxycephalus), n.d."
"Culaea","inconstans","365","Eakins, 2020a","365","Eakins, 2020a","Y","1-10","Jacobus & Webb, 2005;Manion, 1977;Stewart et al., 2007",NA,NA,"8.7","Froese & Pauly, 2000","5","Froese & Pauly, 2000","5","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000;Eakins, 2020a"
"Bathygobius","soporator","346","Tavolga, 1954;K. M. Peters, 1983","346","Tavolga, 1954;K. M. Peters, 1983","Y","10-100","K. M. Peters, 1983",NA,NA,"15","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","non-migratory","Froese & Pauly, 2000",NA,NA,"","unk","","Nikki","1204.5","Niyonkuru et al., 2007"
"Coryphopterus","urospilus","84","Victor et al., 2010","105","Victor et al., 2010","","unk","",NA,NA,"6.5","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","non-migratory","Mora & Ospína, 2001;Grove & Lavenberg, 1997",NA,NA,"","unk","","Nikki","unk",""
"Halichoeres","dispilus","unk","","unk","","","100+","Victor & Wellington, 2000",NA,NA,"25","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","unk","",NA,NA,"","unk","","Nikki","1825","Snow, n.d."
"Thalassoma","lucasanum","unk","","unk","","","100+","Wellington & Victor, 1992",NA,NA,"15","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","non-migratory","Warner, 1982",NA,NA,"","unk","","Nikki","1825","Snow, n.d."
"Lutjanus","guttatus","365","Sarabia-Méndez et al., 2010","365","Sarabia-Méndez et al., 2010","Y","10-100","Zapata & Herrón, 2002",NA,NA,"80","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","non-migratory","Bayona-Vásquez et al., 2017",NA,NA,"","unk","","Nikki","8395","Gonzalez-Ochoa et al., 2009"
"Poecilia","mexicana","210","Froese & Pauly, 2000","210","Froese & Pauly, 2000","Y","unk","",NA,NA,"11","Froese & Pauly, 2000","","","","","","none","Froese & Pauly, 2000","non-migratory","IUCN, 2020",NA,NA,"","0.000032","Balsano et al., 1985","Nikki","1825","Shortfin Molly (Poecilia mexicana), n.d."
"Acris","crepitans","365","Oliveira et al., 2017","365","Oliveira et al., 2017","Y","1-10","AmphibiaWeb, 2020",NA,NA,"3.8","Oliveira et al., 2017","","","","","","winter","AmphibiaWeb, 2020;Meyers et al., 2015","non-migratory","",NA,NA,"","kunk","AmphibiaWeb, 2020","Nikki","1788.5","Oliveira et al., 2017"
"Ambystoma","jeffersonianum","730","Oliveira et al., 2017","730","Oliveira et al., 2017","Y","0-1","AmphibiaWeb, 2020",NA,NA,"21","Oliveira et al., 2017","","","","","","winter+dry","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0","Faccio, 2003","Ilona/Nikki","2190","Meyers et al., 2015"
"Ambystoma","macrodactylum","365","Oliveira et al., 2017","365","Oliveira et al., 2017","Y","1-10","Funk & Dunlap, 1999",NA,NA,"24.8","Oliveira et al., 2017;A. P. Russell et al., 1996","","","","","","winter","AmphibiaWeb, 2020","non-migratory","","winter",NA,"","0.0001156-0.0002816","AmphibiaWeb, 2020","Micky/Ilona/Nikki","3650","Oliveira et al., 2017"
"Ambystoma","maculatum","730","Oliveira et al., 2017","730","Oliveira et al., 2017","Y","0-1","Madison, 1997",NA,NA,"24.8","Oliveira et al., 2017","","","","","","winter+hot","Gatz, 1973;AmphibiaWeb, 2020","non-migratory","","winter",NA,"","0.000008-0.0000015 ","Meyers et al., 2015","Micky/Ilona/Nikki","11680","Oliveira et al., 2017;AmphibiaWeb, 2020"
"Ambystoma","tigrinum","1460","De Magalhães & Costa, 2009","1460","De Magalhães & Costa, 2009","","0-1","AmphibiaWeb, 2020;Madison & Farrand, 1998",NA,NA,"33","Oliveira et al., 2017","","","","","","winter","AmphibiaWeb, 2020","non-migratory","",NA,NA,"","0.071","Madison & Farrand, 1998;AmphibiaWeb, 2020","Ilona/Nikki","9125","AmphibiaWeb, 2020"
"Lagopus","lagopus","365","De Magalhães & Costa, 2009","365","De Magalhães & Costa, 2009","","10-100","Brøseth et al., 2005;Hörnell-Willebrand et al., 2014",NA,NA,"43","Meyers et al., 2015","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.02-0.12","Brøseth et al., 2005","Brad/Ilona/Nikki","3285","De Magalhães & Costa, 2009"
"Laudakia","stellio","730","Ergül et al., 2014","730","Ergül et al., 2014","Y","unk","",NA,NA,"13.314","Ergül et al., 2014","8.624-13.043","Ergül et al., 2014","9.005-13.314","Ergül et al., 2014","","","","non-migratory","Southwood & Avens, 2010",NA,NA,"","unk","","Nikki","3650","Ergül et al., 2014"
"Anolis","cybotes","unk","","unk","","","0-1","Fobes et al., 1992",NA,NA,"20.3","Conant & Collins, 1998","4.8","M. A. Johnson & Wade, 2010","6.09","M. A. Johnson & Wade, 2010","","","","non-migratory","Fobes et al., 1992",NA,NA,"","0.00001928","Fobes et al., 1992","Nikki","unk",""
"Anolis","krugi","unk","","unk","","","10-100","RodrÍguez-Robles et al., 2010",NA,NA,"unk","","3.6","Mowbray, n.d.-b","4.5","Mowbray, n.d.-b","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Anolis","pulchellus","unk","","unk","","","0-1","Gorman & Harwood, 1977",NA,NA,"unk","","4.571","Huyghe et al., 2007","4.571","Huyghe et al., 2007","Y","","","non-migratory","",NA,NA,"","0.00005","Gorman & Harwood, 1977","Nikki","unk",""
"Anolis","semilineatus","unk","","unk","","","unk","",NA,NA,"4","Cochran, 1941","","","","","","","","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Cophosaurus","texanus","50","Ballinger et al., 1972;Sugg et al., 1995","30","Schrank & Ballinger, 1973;Sugg et al., 1995","","0-1","Franco, 2015",NA,NA,"8.8","Degenhardt et al., 2016","6.2","Degenhardt et al., 2016","6.89","Degenhardt et al., 2016","","Oct - Mar","Sugg et al., 1995","non-migratory","Howland, 1992",NA,NA,"","0.1943-0.263","Verwaijen & Van Damme, 2008","Nikki","540","Sugg et al., 1995"
"Dipsosaurus","dorsalis","930","Krekorian, 1984","930","Krekorian, 1984","Y","0-1","Krekorian, 1984",NA,NA,"13.5","Hulse, 1992","13","Meyers et al., 2015","13","Meyers et al., 2015","Y","Oct - Mar","Moberly, 1963","non-migratory","Krekorian, 1984",NA,NA,"","0.00126","Krekorian, 1984","Nikki","5329","De Magalhães & Costa, 2009"
"Sceloporus","grammicus","240","Jiménez-Cruz et al., 2005","180","Jiménez-Cruz et al., 2005","","0-1","Hall & Selander, 1973",NA,NA,"8.1","Guillette & Casas-Andreu, 1980","5.07","Hernández-Salinas et al., 2010","5.298","Hernández-Salinas et al., 2010","","winter","Andrews, 1998","non-migratory","",NA,NA,"","unk","","Nikki","unk",""
"Sceloporus","occidentalis","365","Goldberg, 1973","240","Goldberg, 1974","","0-1","Massot et al., 2003",NA,NA,"7.4","Davis, 1967","6.78","Davis, 1967","7.25","Davis, 1967","","winter","Goldberg, 1973","non-migratory","Southwood & Avens, 2010",NA,NA,"","0.0004-0.07","Tanner & Hopkin, 1971","Nikki","1825","Davis, 1967"
"Lacerta","agilis","803","Roitberg & Smirina, 2006;Guarino et al., 2010","unk","","","0-1","M. Olsson et al., 1996",NA,NA,"10","Guarino et al., 2010","7.39","Guarino et al., 2010","6.93","Guarino et al., 2010","","winter","Saveliev et al., 2006","non-migratory","Southwood & Avens, 2010",NA,NA,"","0.0011","M. Olsson et al., 1996","Nikki","1460","Olsson & Shine, 1996"
"Podarcis","tilliguerta","unk","","unk","","","0-1","Mangiacotti et al., 2013",NA,NA,"unk","","5.25","Biaggini et al., 2013","5.759","Biaggini et al., 2013","","","","non-migratory","Southwood & Avens, 2010",NA,NA,"","unk","","Nikki","5475","Jesus, 2012"
"Takydromus","septentrionalis","unk","","unk","","","0-1","Xiang & Peichao, 1989",NA,NA,"8","Du et al., 2006","","","","","","Nov-Apr/May","IUCN, 2020","non-migratory","",NA,NA,"","0.0000311-0.0000661","Xiang & Peichao, 1989","Nikki","unk",""
"Zootoca","vivipara","365","Sorci & Clobert, 1995","365","Sorci & Clobert, 1995","Y","0-1","Strijbosch et al., 1983",NA,NA,"unk","","4.5-7.5","Pilorge, 1987","4-6","Pilorge, 1987","","Sept - Mar/Apr/May","Bauwens, 1981;Pilorge, 1987","non-migratory","Southwood & Avens, 2010",NA,NA,"","0.5389-1.6921","Ortega-Rubio et al., 1988","Nikki","4380","Avery, 1975"
"Rattus","fuscipes","107","De Magalhães & Costa, 2009","90","De Magalhães & Costa, 2009","","0-1","Peakall et al., 2003",NA,NA,"15.925","K. E. Jones et al., 2009","unk","","unk","","","none","Glanville & Seebacher, 2010","non-migratory","Green & Osborne, 1981",NA,NA,"","0.008-0.012","Peakall et al., 2003","Joanne/Alex/Nikki","1934.5","J. M. Taylor & Calaby, 1988"
"Anaxyrus","americanus","1095","AmphibiaWeb, 2020","730","AmphibiaWeb, 2020","","0-1","AmphibiaWeb, 2020",NA,NA,"11.1","Oliveira et al., 2017","7.5","Meyers et al., 2015","7.5","Meyers et al., 2015","Y","winter","Meyers et al., 2015","non-migratory","",NA,NA,"","6","AmphibiaWeb, 2020","Nikki","1825","AmphibiaWeb, 2020;Meyers et al., 2015"
"Desmarestia","viridis","12","Hiroyuki Nakahara, 1984","12","Hiroyuki Nakahara, 1984","Y","1-10","Norton, 1992",NA,NA,"0.1","Desmarestia viridis, n.d.","","","","","","Feb - Oct","Blain & Gagnon, 2013","non-migratory","",NA,NA,"",NA,NA,"Nikki","365","Blain & Gagnon, 2013"
"Desmarestia","aculeata","7","Ramirez et al., 1986","7","Ramirez et al., 1986","Y","1-10","Norton, 1992",NA,NA,"0.1","Johannesson et al., 2000","","","","","","spring - Nov","Chapman & Burrows, 1971","non-migratory","",NA,NA,"",NA,NA,"Nikki","unk",""
"Desmarestia","ligulata","150","Zepp, 2017","150","Zepp, 2017","Y","1-10","Norton, 1992;Reed et al., 1997;Zepp, 2017",NA,NA,"0.1","WoRMS Editorial Board, 2020","","","","","","spring - summer - fall","Reed et al., 1997","non-migratory","",NA,NA,"",NA,NA,"Nikki","365","M. S. Edwards, 1998"
"Desmarestia","willii","unk","","unk","","","1-10","Norton, 1992",NA,NA,"0.1","Kim et al., 2001","","","","","","spring - summer - fall","","non-migratory","",NA,NA,"",NA,NA,"ALH/Nikki","365","Bellemo et al., 2001"
"Dictyosiphon","foeniculaceus","28","Peters & Müller, 1985;Saga, 1986","28","Saga, 1986","gametes released after 4 weeks (https://doi.org/10.1007/BF01987412)","0-1","Peters & Müller, 1985",NA,NA,"0.1","AlgaeBase, 2006;Gosner, 1979","","","","","","none","Lindeberg & Lindstrom, n.d.;Peters & Müller, 1985","non-migratory","",NA,NA,"",NA,NA,"ALH/Nikki","365","Lindeberg & Lindstrom, n.d."
"Dictyosiphon","hirsutus","unk","","unk","","","0-1","Peters, 1992a",NA,NA,"0.1","Peters, 1992a","","","","","","summer","Peters, 1992a","non-migratory","",NA,NA,"",NA,NA,"ALH/Nikki","365","Peters, 1992a"
"Dumontia","contorta","180","Rietema & Klein, 1981","180","Rietema & Klein, 1981","Y","unk","",NA,NA,"unk","Pot et al., 1988","","","","","","none","Wilce & Davis, 1984","non-migratory","",NA,NA,"",NA,NA,"ALH/Nikki","unk",""
"Haplogloia","andersonii","52","Peters, 1992b","52","Peters, 1992b","Y","1-10","",NA,NA,"0.1","DeCew & Silva, 2006","","","","","","summer","DeCew & Silva, 2006","non-migratory","",NA,NA,"",NA,NA,"ALH/Nikki","365",""
"Sphaerotrichia","divaricata","20","Umezaki, 1990","20","Umezaki, 1990","Y","10-100","A. F. Peters et al., 1993",NA,NA,"0.1","van Den Hoek et al., 1995;Umezaki, 1990","","","","","","summer","van Den Hoek et al., 1995;A. F. Peters et al., 1993","non-migratory","",NA,NA,"",NA,NA,"ALH/Nikki","365","Novaczek & McLachlan, 1987"
"Tinocladia","falklandica","unk","","unk","","","unk","",NA,NA,"unk","AlgaeBase, 2006","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"ALH/Nikki","unk",""
"Trachynema","groenlandicum","unk","","unk","","","1-10","Norton, 1992",NA,NA,"unk","Pedersen, 1985","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"ALH/Nikki","unk",""
"Laminaria","longicruris","200","Chapman, 1986","200","Chapman, 1986","Y","1-10","Norton, 1992",NA,NA,"0.1","Chmura et al., 2007;Harvey, 1857","","","","","","none","Egan & Yarish, 1990","non-migratory","",NA,NA,"",NA,NA,"ALH/Nikki","1460","Harvey, 1857"
"Gigartina","teedii","95","Guiry, 1984","95","Guiry, 1984","Y","0-1","Guiry, 1984",NA,NA,"20","Guiry, 1984","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"ALH/Nikki","unk",""
"Anisotome","imbricata","unk","","unk","","","","Thorsen et al., 2009",NA,NA,"5","Thorsen et al., 2009","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Nikki","","C. S. Brown et al., 2006"
"Artemisia","californica","250","Pratt et al., 2014","250","Pratt et al., 2014","Y","","Umezaki, 1990",NA,NA,"250","Umezaki, 1990","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Azenor/Nikki","9125","Montalvo et al., 2017"
"Celmisia","haastii","unk","","unk","","","0-1","Spence, 1990;Thorsen et al., 2009",NA,NA,"15","Celmisia Species, New Zealand Daisy, n.d.","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Nikki","","Hadley & Rosen, 1974"
"Celmisia","viscosa","2920","A. D. Campbell, 1980","2920","A. D. Campbell, 1980","Y","0-1","Spence, 1990",NA,NA,"unk","","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Azenor/Nikki","unk",""
"Encelia","farinosa","730","Umezaki, 1990","730","Montalvo, 2004","Y","","D. E. Brown & Minnich, 1986",NA,NA,"150","Umezaki, 1990","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Azenor/Nikki","10950","Fehlberg & Ranker, 2009"
"Atriplex","hymenelytra","730","Reed, 1993","730","Reed, 1993","Y","unk","",NA,NA,"122","Atriplex hymenelytra, n.d.-b","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Nikki","","Atriplex hymenelytra, n.d.-a"
"Atriplex","leucophylla","730","Reed, 1993","730","Reed, 1993","Y","unk","",NA,NA,"30","Zacharias, 2013","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Azenor/Nikki","","“Atriplex leucophylla,” 2020"
"Silene","acaulis","9015.5","Morris & Doak, 1998","9015.5","Morris & Doak, 1998","","1-10","Gehring & Delph, 1999",NA,NA,"3","Silene acaulis, n.d.","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Azenor/Nikki","109500","Morris & Doak, 1998"
"Hectorella","caespitosa","unk","","unk","","","unk","",NA,NA,"4","Breitwieser et al., 2020","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Nikki","","Morton & Allan, 1967"
"Eriogonum","latifolium","unk","","unk","","","","Riley et al., 2019",NA,NA,"70","Reveal & Rosatti, 2012","","","","","","none","Dziminski & Alford, 2005","non-migratory","",NA,NA,"",NA,NA,"Nikki","","USDA, 2006"
"Eriogonum","fasciculatum","365","Umezaki, 1990","365","Umezaki, 1990","Y","","Umezaki, 1990",NA,NA,"200","Eriogonum fasciculatum, n.d.","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Nikki","18250","Sawyer et al., 2001"
"Dracophyllum","muscoides","unk","","unk","","","","Thorsen et al., 2009",NA,NA,"0.5","de Lange, 2020","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Nikki","unk",""
"Salvia","leucophylla","unk","","unk","","","unk","",NA,NA,"150","Averett, 2012a","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Nikki","","USDA, 2006"
"Salvia","mohavensis","unk","","unk","","","unk","",NA,NA,"100","Averett, 2012b","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Nikki","","USDA, 2006"
"Bromus","tectorum","45","Zouhar, 2003","45","Zouhar, 2003","Y","","Zouhar, 2003",NA,NA,"75","Zouhar, 2003","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Nikki","365","Zouhar, 2003"
"Bromus","rubens","86","Wu & Jain, 1979","86","Wu & Jain, 1979","Y","","Chambers et al., 2016;CABI, 2020b",NA,NA,"40","CABI, 2020b","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Nikki","365","“Bromus rubens,” 2020"
"Poa","colensoi","unk","","unk","","","0-1","Spence, 1990",NA,NA,"30","Basher & Lynn, 1996","","","","","","","","non-migratory","",NA,NA,"",NA,NA,"Nikki","","Connor, 1963"
"Palirhoeus","eatoni","unk","","unk","","","100+","Chown & Klok, 2001a",NA,NA,"0.55","Janse van Rensburg, 2006","0.44","Chown & Klok, 2001b","0.39","Chown & Klok, 2001b","","","","unk","",NA,NA,"","unk","","Wilco+Piero/Nikki","unk",""
"Calathus","melanocephalus","285","Filippov, 2006","285","Filippov, 2006","Y","10-100","Aukema, 1995",NA,NA,"0.7","Van Noordwijk et al., 2015","","","","","","spring+ winter","Filippov, 2006;“Calathus melanocephalus,” 2009","non-migratory","",NA,NA,"","unk","","Wilco+Piero","390","Filippov, 2006"
"Glossina","pallidipes","15","Ackley & Hargrove, 2017;“Tsetse fly,” n.d.","15","Ackley & Hargrove, 2017;“Tsetse fly,” n.d.","Y","1-10","B. Williams et al., 1992",NA,NA,"1.5","Schofield, 1986","","","","","","","","non-migratory","Brightwell et al., 1997",NA,NA,"","unk","","Susana+Wilco+Piero/Nikki","160","Clutton-Brock & Langley, 1997"
"Myrmecocystus","depilis","90","“Myrmecocystus,” n.d.","unk","","","1-10","“Myrmecocystus mexicanus,” n.d.",NA,NA,"0.8","“Myrmecocystus depilis,” n.d.","","","","","","summer","“Myrmecocystus species group,” n.d.","non-migratory","",NA,NA,"","0.0000000573","Cole et al., 2001","Wilco+Piero/Nikki","6205","Holldobler & Wilson, 1990"
"Alosa","pseudoharengus","1642","De Magalhães & Costa, 2009","1277","De Magalhães & Costa, 2009","","10-100","Spares et al., 2016",NA,NA,"40","Froese & Pauly, 2000","30","Froese & Pauly, 2000","30","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","spring",NA,"Saila et al., 1972;Durbin et al., 1979","unk","","Azenor/Nikki","4015","Meyers et al., 2015;CABI, 2020a"
"Catostomus","clarkii","730","NatureServe, 2020","730","NatureServe, 2020","Y","0-1","Booth et al., 2013",NA,NA,"33","Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.022-0.53","Booth et al., 2013","Azenor/Nikki","3650","NatureServe, 2020"
"Agosia","chrysogaster","365","Winther, 1962","365","Winther, 1962","Y","1-10","Minckley & Barber, 1971",NA,NA,"0.9","Winther, 1962","","","","","","kunk","Minckley & Barber, 1971","non-migratory","IUCN, 2020",NA,NA,"","unk","","Wilco+Piero/Nikki","1095","NatureServe, 2020"
"Gila","robusta","730","NatureServe, 2020","730","NatureServe, 2020","Y","1-10","Brouder et al., 2000",NA,NA,"43","Froese & Pauly, 2000","","","","","","none","Gila robusta jordani, 1990","non-migratory","IUCN, 2020",NA,NA,"","0.031","Brouder et al., 2000","Wilco+Piero/Nikki","3650","NatureServe, 2020"
"Meda","fulgida","425","NatureServe, 2020","425","NatureServe, 2020","Y","10-100","Propst et al., 1986",NA,NA,"9.1","Froese & Pauly, 2000","","","","","","none","NatureServe, 2020","non-migratory","IUCN, 2020",NA,NA,"","unk","","Wilco+Piero/Nikki","730","NatureServe, 2020"
"Pogonichthys","macrolepidotus","730","NatureServe, 2020","730","NatureServe, 2020","Y","10-100","Baerwald et al., 2007;Moyle et al., 2004",NA,NA,"44","Froese & Pauly, 2000","","","","","","none","NatureServe, 2020","non-migratory","IUCN, 2020",NA,NA,"","0.00003","Sommer et al., 2008","Wilco+Piero/Nikki","2555","NatureServe, 2020"
"Rhinichthys","cobitis","300","NatureServe, 2020","300","NatureServe, 2020","Y","unk","",NA,NA,"6","NatureServe, 2020","","","","","","none","NatureServe, 2020","non-migratory","IUCN, 2020",NA,NA,"","unk","","Wilco+Piero/Nikki","1825","Froese & Pauly, 2000"
"Cyprinodon","macularius","365","NatureServe, 2020","365","NatureServe, 2020","Y","1-10","G. W. Barlow, 1958",NA,NA,"7.2","Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","730","Froese & Pauly, 2000"
"Galaxias","fasciatus","1460","IUCN, 2020","730","IUCN, 2020","","0-1","Akbaripasand et al., 2011",NA,NA,"30","Froese & Pauly, 2000","","","","","","","","non-migratory","Hopkins, 1979",NA,NA,"","unk","","Nikki","2555","IUCN, 2020"
"Galaxias","maculatus","365","IUCN, 2020","365","IUCN, 2020","Y","100+","Delgado et al., 2019",NA,NA,"19","Froese & Pauly, 2000","10","Froese & Pauly, 2000","10","Froese & Pauly, 2000","Y","","","migratory","Froese & Pauly, 2000","August/September/October","August/September/October","Barriga et al., 2007;Ergül et al., 2014","unk","","Nikki","1825","IUCN, 2020"
"Gillichthys","mirabilis","365","G. Barlow, 1963","365","G. Barlow, 1963","Y","1-10","McGourty et al., 2009;Yoklavich et al., 1992;Moser, 1996",NA,NA,"21","Froese & Pauly, 2000","19","Froese & Pauly, 2000","19","Froese & Pauly, 2000","Y","none","NatureServe, 2020","non-migratory","IUCN, 2020",NA,NA,"","0.00283","Bano et al., 2007","Azenor/Nikki","730","Froese & Pauly, 2000"
"Ambassis","ambassis","365","Milton & Arthington, 1985","365","Milton & Arthington, 1985","Y","unk","",NA,NA,"15","Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Milton & Arthington, 1985"
"Apogon","dovii","unk","","unk","","","unk","",NA,NA,"7.5","Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","unk",""
"Lipophrys","pholis","255.5","M. G. Carvalho et al., 2017","146","M. G. Carvalho et al., 2017","Y","100+","M. G. Carvalho et al., 2017",NA,NA,"17","Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.000000785-0.00000825","Gibson, 1967","Nikki","3650","De Magalhães & Costa, 2009;Froese & Pauly, 2000"
"Lipophrys","trigloides","unk","","unk","","","100+","Macpherson & Raventos, 2006",NA,NA,"13","Froese & Pauly, 2000","","","","","","","","unk","",NA,NA,"","unk","","Nikki","unk",""
"Carpiodes","cyprinus","2190","Parker & Franzin, 1991","1460","Parker & Franzin, 1991","","10-100","NatureServe, 2020",NA,NA,"45.7","Parker & Franzin, 1991","44.4-44.9","Parker & Franzin, 1991","40.9-41.3","Parker & Franzin, 1991","","","","migratory","NatureServe, 2020",NA,NA,"","unk","","Azenor/Nikki","4015","Meyers et al., 2015"
"Catostomus","commersonii","1095","Meyers et al., 2015","730","Meyers et al., 2015","","10-100","Meyers et al., 2015;NatureServe, 2020",NA,NA,"65","Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","40.7","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","spring+ two months",NA,"NatureServe, 2020;Meyers et al., 2015","unk","","Azenor/Nikki","6205","Meyers et al., 2015"
"Ambloplites","rupestris","730","Meyers et al., 2015","730","Meyers et al., 2015","Y","1-10","Sabat, 1994;MacLean & Teleki, 1977",NA,NA,"43","Froese & Pauly, 2000","15.4","Froese & Pauly, 2000","15.4","Froese & Pauly, 2000","Y","none","Meyers et al., 2015","migratory","NatureServe, 2020","spring",NA,"MacLean & Teleki, 1977","28.26","MacLean & Teleki, 1977","Sarah/Nikki","2920","Meyers et al., 2015;Froese & Pauly, 2000"
"Lepomis","cyanellus","1095","Meyers et al., 2015","1095","NatureServe, 2020","Y","0-1","Smithson & Johnston, 1999",NA,NA,"31","Froese & Pauly, 2000","20","Froese & Pauly, 2000","20","Froese & Pauly, 2000","Y","","","non-migratory","NatureServe, 2020",NA,NA,"","0.00139","Berra & Gunning, 1973","Sarah/Nikki","3285","De Magalhães & Costa, 2009"
"Lepomis","gibbosus","730","Meyers et al., 2015","730","W. B. Scott & Crossman, 1973","","0-1","McCairns & Fox, 2004",NA,NA,"40","Froese & Pauly, 2000","9.9","Froese & Pauly, 2000","9.9","Froese & Pauly, 2000","Y","","","non-migratory","NatureServe, 2020",NA,NA,"","1-3","McCairns & Fox, 2004","Sarah/Nikki","4380","Eakins, 2020b"
