"intratherm_id","genus_species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","realm_general2","Notes","genus","species","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","data_gatherer","lifespan_days","lifespan_days_reference","is_in_south","season_when_away_100km_start","season_when_away_100km_stop","season_inactive_start","season_inactive_stop","season_inactive_start2","season_inactive_stop2"
1148,"Hybognathus placitus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Matthews & Maness 1979","Comte","Hybognathus placitus_34.86_-96.73",25,34.86,-96.73,"","South Canadian River",14,39.95,"tmax",0.07,"SD",2,"critical","OS",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hybognathus","placitus",13,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","730","C. M. Taylor & Miller, 1990","N","","","","","",""
1149,"Hybognathus placitus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Hybognathus placitus_35.66_-97.47",10,35.66,-97.47,"","Central Oklahoma US",14,28.37,"tmax",1.26,"SD",26,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hybognathus","placitus",13,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","730","C. M. Taylor & Miller, 1990","N","","","","","",""
1150,"Hybognathus placitus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Hybognathus placitus_35.66_-97.47",10,35.66,-97.47,"","Central Oklahoma US",14,31.75,"tmax",0.88,"SD",26,"critical","OS","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hybognathus","placitus",13,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","730","C. M. Taylor & Miller, 1990","N","","","","","",""
1157,"Hypentelium nigricans","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Kowaski et al. 1978","Comte","Hypentelium nigricans_42.6_-78.47",15,42.6,-78.47,"","Buffalo Creek, Erie County, New York, United States",28,30.8,"tmax",1.34,"SD",9,"critical","OS","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypentelium","nigricans",61,"Froese & Pauly, 2000","","","non-migratory","IUCN, 2020","","","","Nikki","4015","O’Kelley & Powers, 2007","N","","","","","",""
1176,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",10,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,28.4,"tmax",NA,"SD",NA,"lethal","death","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1177,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",15,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,30.4,"tmax",NA,"SD",NA,"lethal","death","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1178,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",20,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,32.7,"tmax",NA,"SD",NA,"lethal","death","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1179,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",25,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,34.2,"tmax",NA,"SD",NA,"lethal","death","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1180,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",30,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,35.6,"tmax",NA,"SD",NA,"lethal","death","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1181,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",34,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,35.6,"tmax",NA,"SD",NA,"lethal","death","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1182,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",10,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,30.18,"tmax",0.11,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1183,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",15,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,33.36,"tmax",0.13,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1184,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",20,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,35.75,"tmax",0.13,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1185,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",25,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,37.82,"tmax",0.14,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1186,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",30,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,38.56,"tmax",0.14,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1187,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",34,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,41.06,"tmax",0.13,"SD",NA,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1188,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",15,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,35.14,"tmax",0.12,"SD",NA,"critical","OS","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1189,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",20,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,37.8,"tmax",0.13,"SD",NA,"critical","OS","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1190,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",25,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,39.32,"tmax",0.14,"SD",NA,"critical","OS","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1191,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",30,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,41.64,"tmax",0.14,"SD",NA,"critical","OS","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1192,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_99.15",34,26.47,99.15,"","Dahuofang reservoir Yingpan China",NA,42.68,"tmax",0.16,"SD",NA,"critical","OS","0.3",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Hypophthalmichthys","nobilis",146,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","Nikki","7300","Froese & Pauly, 2000","N","0.208","0.625","","","",""
1194,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Stewart & Allen 2014","Comte","Ictalurus punctatus_29.21_-89.28",30,29.21,-89.28,"","Mississippi Delta Mississipi US",30,39.08,"tmax",0.22,"SD",30,"critical","LOE","0.03",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ictalurus","punctatus",132,"Froese & Pauly, 2000","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020","","","","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000","N","","","","","",""
1195,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Hart 1952","Comte","Ictalurus punctatus_29.48_-81.68",15,29.48,-81.68,"","Welaka Florida US",NA,30.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ictalurus","punctatus",132,"Froese & Pauly, 2000","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020","","","","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000","N","","","","","",""
1196,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Hart 1952","Comte","Ictalurus punctatus_29.48_-81.68",20,29.48,-81.68,"","Welaka Florida US",NA,32.8,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ictalurus","punctatus",132,"Froese & Pauly, 2000","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020","","","","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000","N","","","","","",""
1197,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Hart 1952","Comte","Ictalurus punctatus_29.48_-81.68",25,29.48,-81.68,"","Welaka Florida US",NA,33.5,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ictalurus","punctatus",132,"Froese & Pauly, 2000","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020","","","","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000","N","","","","","",""
1210,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Ictalurus punctatus_35.66_-97.47",10,35.66,-97.47,"","Central Oklahoma US",14,31.32,"tmax",0.83,"SD",20,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ictalurus","punctatus",132,"Froese & Pauly, 2000","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020","","","","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000","N","","","","","",""
1211,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Ictalurus punctatus_35.66_-97.47",10,35.66,-97.47,"","Central Oklahoma US",14,33.31,"tmax",0.54,"SD",20,"critical","OS","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ictalurus","punctatus",132,"Froese & Pauly, 2000","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020","","","","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000","N","","","","","",""
1219,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Hart 1952","Comte","Ictalurus punctatus_41.65_-82.83",20,41.65,-82.83,"","Put-in Bay Ohio US",NA,32.7,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ictalurus","punctatus",132,"Froese & Pauly, 2000","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020","","","","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000","N","","","","","",""
1220,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Hart 1952","Comte","Ictalurus punctatus_41.65_-82.83",25,41.65,-82.83,"","Put-in Bay Ohio US",NA,33.5,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ictalurus","punctatus",132,"Froese & Pauly, 2000","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020","","","","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000","N","","","","","",""
1223,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Stewart & Allen 2014","Comte","Ictalurus punctatus_47.99_-97.06",30,47.99,-97.06,"","Red River North Dakota US",30,39.23,"tmax",0.23,"SD",30,"critical","LOE","0.03",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Ictalurus","punctatus",132,"Froese & Pauly, 2000","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020","","","","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000","N","","","","","",""
1274,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Burrows & Butler 2012","Comte","Lates calcarifer_-12.83_132.86",28,-12.83,132.86,"","Northern Australia",14,41.1,"tmax",0.5,"SD",15,"critical","LOE","0.14",NA,NA,NA,NA,NA,NA,NA,"Freshwater","hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer",200,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","Nikki","7300","Balston, 2009","Y","0.792","0.125","","","",""
1275,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Burrows & Butler 2012","Comte","Lates calcarifer_-12.83_132.86",28,-12.83,132.86,"","Northern Australia",14,40.9,"tmax",0.5,"SD",15,"critical","LOE","0.14",NA,NA,NA,NA,NA,NA,NA,"Freshwater","hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer",200,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","Nikki","7300","Balston, 2009","Y","0.792","0.125","","","",""
1276,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Burrows & Butler 2012","Comte","Lates calcarifer_-12.83_132.86",28,-12.83,132.86,"","Northern Australia",14,39.9,"tmax",0.3,"SD",13,"critical","LOE","0.14",NA,NA,NA,NA,NA,NA,NA,"Freshwater","hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer",200,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","Nikki","7300","Balston, 2009","Y","0.792","0.125","","","",""
1277,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Burrows & Butler 2012","Comte","Lates calcarifer_-12.83_132.86",28,-12.83,132.86,"","Northern Australia",NA,41.2,"tmax",0.5,"SD",3,"critical","LOE","0.14",NA,NA,NA,NA,NA,NA,NA,"Freshwater","hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer",200,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","Nikki","7300","Balston, 2009","Y","0.792","0.125","","","",""
1278,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Burrows & Butler 2012","Comte","Lates calcarifer_-12.83_132.86",28,-12.83,132.86,"","Northern Australia",NA,39.2,"tmax",0.5,"SD",3,"critical","LOE","0.14",NA,NA,NA,NA,NA,NA,NA,"Freshwater","hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer",200,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","Nikki","7300","Balston, 2009","Y","0.792","0.125","","","",""
1279,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Burrows & Butler 2012","Comte","Lates calcarifer_-12.83_132.86",20,-12.83,132.86,"","Northern Australia",14,38.4,"tmax",1.2,"SD",12,"critical","LOE","0.14",NA,NA,NA,NA,NA,NA,NA,"Freshwater","hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer",200,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","Nikki","7300","Balston, 2009","Y","0.792","0.125","","","",""
1280,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Burrows & Butler 2012","Comte","Lates calcarifer_-12.83_132.86",20,-12.83,132.86,"","Northern Australia",14,35.2,"tmax",0.9,"SD",12,"critical","LOE","0.14",NA,NA,NA,NA,NA,NA,NA,"Freshwater","hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer",200,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","Nikki","7300","Balston, 2009","Y","0.792","0.125","","","",""
1281,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Burrows & Butler 2012","Comte","Lates calcarifer_-12.83_132.86",20,-12.83,132.86,"","Northern Australia",14,35.5,"tmax",1.3,"SD",4,"critical","LOE","0.14",NA,NA,NA,NA,NA,NA,NA,"Freshwater","hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer",200,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","Nikki","7300","Balston, 2009","Y","0.792","0.125","","","",""
1282,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Rajaguru 2002","Comte","Lates calcarifer_11.49_79.76",28,11.49,79.76,"","Vellar Brackish Tamil Nadu India",NA,39.5,"tmax",0.19,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer",200,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","Nikki","7300","Balston, 2009","N","0.792","0.125","","","",""
1283,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Rajaguru 2002","Comte","Lates calcarifer_11.49_79.76",28,11.49,79.76,"","Vellar Brackish Tamil Nadu India",NA,43.5,"tmax",NA,"SD",10,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater","hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer",200,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","Nikki","7300","Balston, 2009","N","0.792","0.125","","","",""
1284,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Rajaguru 2002","Comte","Lates calcarifer_11.49_79.76",28,11.49,79.76,"","Vellar Brackish Tamil Nadu India",NA,44.5,"tmax",NA,"SD",10,"critical","OS","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater","hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer",200,"Froese & Pauly, 2000","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","Nikki","7300","Balston, 2009","N","0.792","0.125","","","",""
1285,"Lepidonotothen squamifrons","Chordata","Teleostei","Perciformes","Nototheniidae",NA,"Beers & Sidell 2011","Comte","Lepidonotothen squamifrons_-64.77_-64.06",0,-64.77,-64.06,"","Antarctic Peninsula",3,14.2,"tmax",1.13,"SD",8,"critical","LOE","0.06",NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"Lepidonotothen","squamifrons",55,"Froese & Pauly, 2000","","","unk","","","","","Joanne/Nikki","6935","Froese & Pauly, 2000","Y","","","","","",""
1286,"Lepidonotothen squamifrons","Chordata","Teleostei","Perciformes","Nototheniidae",NA,"Bilyk & DeVries 2011","Comte","Lepidonotothen squamifrons_-64_-64.06",4,-64,-64.06,"","Near Anvers Island Western Antarctic Peninsula",NA,15.38,"tmax",NA,"SD",10,"critical","LOE","0.3",NA,NA,NA,NA,NA,NA,NA,"Marine",NA,"Lepidonotothen","squamifrons",55,"Froese & Pauly, 2000","","","unk","","","","","Joanne/Nikki","6935","Froese & Pauly, 2000","Y","","","","","",""
1288,"Lepomis cyanellus","Chordata","Teleostei","Perciformes","Centrarchidae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Lepomis cyanellus_35.66_-97.47",10,35.66,-97.47,"","Central Oklahoma US",14,31.09,"tmax",1.45,"SD",15,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Lepomis","cyanellus",31,"Froese & Pauly, 2000","","","non-migratory","NatureServe, 2020","","","","Sarah/Nikki","3285","De Magalhães & Costa, 2009","N","","","","","",""
1289,"Lepomis cyanellus","Chordata","Teleostei","Perciformes","Centrarchidae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Lepomis cyanellus_35.66_-97.47",10,35.66,-97.47,"","Central Oklahoma US",14,34.18,"tmax",2.06,"SD",15,"critical","OS","1",NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"Lepomis","cyanellus",31,"Froese & Pauly, 2000","","","non-migratory","NatureServe, 2020","","","","Sarah/Nikki","3285","De Magalhães & Costa, 2009","N","","","","","",""
